#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.330640E-12
#47368_015_2-S_MAIN0_Interstrip_091923
#Date/Time: 9/19/2023 3:30:39 PM
#Sensor Name: 47368_015_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
1125	3777998562.344382	1.772762	23.500000	26.384384	-1.845200E-7	5.995230E-12	-7.999687E-11	-9.286450E-11	-1.093437E-10
1140	3777998587.173146	1.845135	23.500000	26.324953	-1.846600E-7	5.995212E-12	-7.331589E-11	-8.617287E-11	-1.000537E-10
1155	3777998611.986882	1.829477	23.500000	26.310943	-1.846900E-7	5.994905E-12	-7.586242E-11	-9.041363E-11	-1.048946E-10
1170	3777998636.949951	1.752096	23.500000	26.324439	-1.846400E-7	5.994485E-12	-7.838687E-11	-9.174031E-11	-1.073231E-10
1185	3777998661.890111	1.823493	23.500000	26.318395	-1.847600E-7	5.993785E-12	-7.825910E-11	-9.119256E-11	-1.066021E-10
1200	3777998686.683522	1.818881	23.500000	26.311023	-1.845600E-7	5.993810E-12	-8.024934E-11	-9.654242E-11	-1.101792E-10
1215	3777998711.508605	1.819138	23.500000	26.340294	-1.846100E-7	5.994530E-12	-8.487713E-11	-9.945656E-11	-1.132407E-10
1230	3777998736.296543	1.796350	23.500000	26.322299	-1.846500E-7	5.992530E-12	-8.109289E-11	-9.589170E-11	-1.102446E-10
1245	3777998761.133841	1.783526	23.500000	26.310073	-1.846400E-7	5.992005E-12	-8.477859E-11	-9.709483E-11	-1.110491E-10
1260	3777998785.961185	1.785910	23.500000	26.336429	-1.847200E-7	5.989853E-12	-8.102013E-11	-9.426109E-11	-1.093093E-10
1275	3777998810.890296	1.797874	23.500000	26.329948	-1.848800E-7	5.987093E-12	-7.836605E-11	-9.080846E-11	-1.032322E-10
1290	3777998835.856172	1.847228	23.500000	26.313857	-1.847700E-7	5.987002E-12	-8.469089E-11	-9.871218E-11	-1.116812E-10
1305	3777998860.838592	1.808449	23.500000	26.312945	-1.848200E-7	5.986027E-12	-8.991562E-11	-1.037864E-10	-1.185811E-10
1320	3777998885.949866	1.820725	23.500000	26.343740	-1.844900E-7	5.985590E-12	-8.788202E-11	-9.836239E-11	-1.131861E-10
1335	3777998910.880102	1.773896	23.500000	26.357514	-1.848500E-7	5.985620E-12	-8.232712E-11	-9.560324E-11	-1.077110E-10
1350	3777998935.717629	1.819392	23.500000	26.419460	-1.846300E-7	5.985930E-12	-8.389438E-11	-9.857416E-11	-1.102837E-10
1365	3777998960.533226	1.868835	23.500000	26.364073	-1.847600E-7	5.985007E-12	-7.591824E-11	-8.714299E-11	-1.000231E-10
1380	3777998985.374107	1.829194	23.500000	26.359912	-1.845500E-7	5.984633E-12	-8.365474E-11	-9.585206E-11	-1.095319E-10
1395	3777999010.215761	1.832097	23.500000	26.440447	-1.845400E-7	5.984913E-12	-8.214680E-11	-9.233991E-11	-1.072551E-10
1410	3777999035.024269	1.817320	23.500000	26.346257	-1.845000E-7	5.984392E-12	-8.045341E-11	-9.117766E-11	-1.060945E-10
1425	3777999059.950384	1.833596	23.500000	26.338410	-1.845900E-7	5.985915E-12	-7.705087E-11	-8.797669E-11	-9.969371E-11
1440	3777999084.916462	1.825779	23.500000	26.367086	-1.847400E-7	5.984217E-12	-8.827006E-11	-9.919446E-11	-1.102006E-10
1455	3777999110.010264	1.901494	23.500000	26.392569	-1.846300E-7	5.985180E-12	-8.525124E-11	-9.639029E-11	-1.064515E-10
1470	3777999134.961041	1.878675	23.500000	26.408621	-1.846300E-7	5.983953E-12	-7.714934E-11	-8.866176E-11	-1.016089E-10
1485	3777999159.736620	1.822068	23.500000	26.363397	-1.847500E-7	5.984433E-12	-8.836634E-11	-9.913168E-11	-1.097642E-10
1500	3777999184.567315	1.830999	23.500000	26.448273	-1.846800E-7	5.984220E-12	-7.908767E-11	-8.847489E-11	-1.016367E-10
1515	3777999209.552022	1.871208	23.500000	26.410878	-1.846600E-7	5.983242E-12	-7.775881E-11	-8.785399E-11	-9.810396E-11
1530	3777999234.377039	1.890578	23.500000	26.391460	-1.844400E-7	5.983390E-12	-8.442920E-11	-9.480856E-11	-1.044718E-10
1545	3777999259.202391	1.834309	23.500000	26.452018	-1.845700E-7	5.982677E-12	-1.586177E-10	-1.719234E-10	-1.882008E-10
1560	3777999284.017022	1.887348	23.500000	26.469119	-1.846000E-7	5.982553E-12	-7.356532E-11	-8.513491E-11	-9.340257E-11
1575	3777999308.823682	1.844996	23.500000	26.515491	-1.846200E-7	5.982695E-12	-7.595587E-11	-8.426257E-11	-9.518741E-11
1590	3777999333.643913	1.862923	23.500000	26.449164	-1.845600E-7	5.982403E-12	-7.706496E-11	-8.748704E-11	-9.646661E-11
1605	3777999358.591761	1.812870	23.500000	26.446808	-1.847400E-7	5.982522E-12	-7.844864E-11	-8.962511E-11	-1.003543E-10
1620	3777999383.546769	1.844898	23.500000	26.481883	-1.847700E-7	5.983300E-12	-7.231842E-11	-8.027370E-11	-8.943230E-11
1635	3777999408.695013	1.836022	23.500000	26.494764	-1.845700E-7	5.983533E-12	-7.615907E-11	-8.446499E-11	-9.223238E-11
1650	3777999433.528729	1.878687	23.500000	26.508457	-1.845900E-7	5.983170E-12	-7.984296E-11	-8.899503E-11	-9.602746E-11
1665	3777999458.511941	1.845604	23.500000	26.468961	-1.845200E-7	5.982650E-12	-8.206789E-11	-8.879245E-11	-9.619759E-11
1680	3777999483.491157	1.794490	23.500000	26.432558	-1.845600E-7	5.983080E-12	-7.974072E-11	-8.685166E-11	-9.894221E-11
1695	3777999508.340382	1.832884	23.500000	26.482021	-1.846400E-7	5.982740E-12	-7.401999E-11	-8.135195E-11	-8.755228E-11
1710	3777999533.320248	1.831418	23.500000	26.460340	-1.845900E-7	5.982170E-12	-7.572955E-11	-8.208363E-11	-8.945012E-11
1725	3777999558.321819	1.801425	23.500000	26.481247	-1.846900E-7	5.982758E-12	-8.137686E-11	-8.861294E-11	-9.465977E-11
1740	3777999583.156658	1.826400	23.500000	26.482000	-1.847400E-7	5.984063E-12	-7.080616E-11	-7.740866E-11	-8.378911E-11
1755	3777999607.983151	1.922823	23.500000	26.518940	-1.845100E-7	5.983195E-12	-7.412527E-11	-8.337736E-11	-8.992936E-11
1770	3777999632.965015	1.943366	23.500000	26.474727	-1.846500E-7	5.983680E-12	-7.669104E-11	-8.311752E-11	-9.147615E-11
1785	3777999657.735083	1.948844	23.500000	26.476551	-1.845300E-7	5.983740E-12	-7.896876E-11	-8.465634E-11	-9.185050E-11
1800	3777999682.546806	1.983052	23.500000	26.534317	-1.845700E-7	5.983620E-12	-7.800419E-11	-8.544019E-11	-8.945995E-11
1815	3777999707.341815	1.900254	23.500000	26.527818	-1.846200E-7	5.982792E-12	-7.598287E-11	-8.038778E-11	-8.788820E-11
