#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.331093E-12
#47368_021_2-S_MAIN0_Interstrip_092023
#Date/Time: 9/20/2023 10:22:48 AM
#Sensor Name: 47368_021_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
1410	3778066961.741683	1.722556	23.500000	26.593013	-1.956600E-7	5.979795E-12	-9.014594E-11	-1.004023E-10	-1.121365E-10
1425	3778066986.703805	1.786369	23.500000	26.619351	-1.958700E-7	5.979347E-12	-9.004043E-11	-9.983125E-11	-1.127783E-10
1440	3778067011.553696	1.778082	23.500000	26.596956	-1.957000E-7	5.979608E-12	-8.536075E-11	-9.708816E-11	-1.073370E-10
1455	3778067036.518677	1.770981	23.500000	26.586296	-1.957300E-7	5.978750E-12	-8.515323E-11	-9.706738E-11	-1.078767E-10
1470	3778067061.358894	1.792328	23.500000	26.610294	-1.956800E-7	5.980343E-12	-8.364850E-11	-9.301163E-11	-1.039917E-10
1485	3778067086.181023	1.821283	23.500000	26.609719	-1.956200E-7	5.979283E-12	-8.418661E-11	-9.527727E-11	-1.055301E-10
1500	3778067110.999205	1.837147	23.500000	26.654327	-1.959500E-7	5.979308E-12	-8.607728E-11	-9.601162E-11	-1.053502E-10
1515	3778067135.947181	1.805351	23.500000	26.628447	-1.955900E-7	5.980138E-12	-7.872036E-11	-8.963787E-11	-1.002358E-10
1530	3778067160.744412	1.828405	23.500000	26.612870	-1.958500E-7	5.978207E-12	-9.312550E-11	-1.019354E-10	-1.128870E-10
1545	3778067185.552776	1.807959	23.500000	26.657595	-1.958500E-7	5.978247E-12	-7.957619E-11	-9.114647E-11	-1.006750E-10
1560	3778067210.331126	1.785343	23.500000	26.670179	-1.957000E-7	5.977645E-12	-8.468338E-11	-9.187879E-11	-1.030822E-10
1575	3778067235.293521	1.757524	23.500000	26.615366	-1.956900E-7	5.978542E-12	-8.464680E-11	-9.586340E-11	-1.021574E-10
1590	3778067260.120374	1.774642	23.500000	26.636055	-1.956500E-7	5.979433E-12	-8.055201E-11	-9.116096E-11	-1.008136E-10
1605	3778067285.240498	1.757547	23.500000	26.664255	-1.957500E-7	5.977640E-12	-8.410705E-11	-9.331889E-11	-1.016142E-10
1620	3778067310.333794	1.742275	23.500000	26.636868	-1.956100E-7	5.978770E-12	-7.960174E-11	-9.153533E-11	-9.966379E-11
1635	3778067335.169117	1.730033	23.500000	26.659478	-1.957800E-7	5.979977E-12	-8.219738E-11	-9.207218E-11	-9.857962E-11
1650	3778067359.952498	1.722227	23.500000	26.699151	-1.957400E-7	5.978727E-12	-7.540001E-11	-8.489356E-11	-9.223697E-11
1665	3778067384.991405	1.706434	23.500000	26.701312	-1.957400E-7	5.979203E-12	-8.454987E-11	-9.375680E-11	-1.008401E-10
1680	3778067409.790730	1.742993	23.500000	26.692592	-1.957800E-7	5.979588E-12	-7.902845E-11	-8.734442E-11	-9.602020E-11
1695	3778067434.616199	1.714705	23.500000	26.681771	-1.959000E-7	5.979322E-12	-8.440618E-11	-9.158991E-11	-9.774857E-11
1710	3778067459.438597	1.732944	23.500000	26.694395	-1.957100E-7	5.979917E-12	-7.763683E-11	-8.729539E-11	-9.603020E-11
1725	3778067484.427666	1.758554	23.500000	26.709673	-1.957700E-7	5.981070E-12	-7.784660E-11	-8.570644E-11	-9.382079E-11
1740	3778067509.391394	1.751870	23.500000	26.666335	-1.958600E-7	5.979227E-12	-8.711872E-11	-9.425975E-11	-1.018354E-10
1755	3778067534.308056	1.759687	23.500000	26.718670	-1.957300E-7	5.978160E-12	-8.164742E-11	-9.008318E-11	-9.702254E-11
1770	3778067559.131215	1.794982	23.500000	26.739914	-1.956600E-7	5.978858E-12	-7.773435E-11	-8.398298E-11	-9.008152E-11
1785	3778067583.946797	1.824257	23.500000	26.730719	-1.957400E-7	5.981895E-12	-8.192075E-11	-8.767297E-11	-9.382610E-11
1800	3778067609.066820	1.854584	23.500000	26.743956	-1.955600E-7	5.979712E-12	-8.390200E-11	-8.827854E-11	-9.433723E-11
1815	3778067633.988017	1.891853	23.500000	26.761000	-1.956600E-7	5.980440E-12	-8.698029E-11	-9.400252E-11	-1.001820E-10
