#Open Capacitance 1000Hz:4.560857E-12
#Open Capacitance 1000000Hz:Not Measured
#47368_021_2-S_MAIN0_Single_092023
#Date/Time: 9/20/2023 11:26:59 AM
#Sensor Name: 47368_021_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
272	3778069658.019693	1.745306	23.500000	26.845597	-1.957300E-7	-2.139205E-11	1.485723E-10	-8.553043E-11	-8.719114E-11	-8.383295E-11	-8.399855E-11	-8.513827E-11	-8.476449E-11	-6.680633E-7	-3.339225E-6
276	3778069675.453094	1.778466	23.500000	26.894899	-1.959800E-7	-9.954371E-11	1.486212E-10	-8.509313E-11	-8.571116E-11	-8.520008E-11	-8.533559E-11	-8.533499E-11	-8.526784E-11	-6.683256E-7	-3.340244E-6
280	3778069692.600086	1.764008	23.500000	26.870229	-1.958200E-7	-1.268098E-11	1.486550E-10	-8.692189E-11	-8.776501E-11	-8.400243E-11	-8.510008E-11	-8.594735E-11	-8.601099E-11	-6.651049E-7	-3.324239E-6
284	3778069709.824664	1.836350	23.500000	26.895912	-1.958500E-7	-1.008455E-10	1.486070E-10	-8.144645E-11	-8.342734E-11	-8.099200E-11	-8.330383E-11	-8.229241E-11	-8.237514E-11	-6.629202E-7	-3.313435E-6
288	3778069727.248373	1.792420	23.500000	26.903758	-1.958200E-7	-4.261968E-11	1.486188E-10	-8.049460E-11	-7.919613E-11	-8.113736E-11	-7.974711E-11	-8.014380E-11	-8.012085E-11	-6.666141E-7	-3.331534E-6
292	3778069744.558230	1.791327	23.500000	26.906592	-1.958400E-7	-8.091960E-11	1.485418E-10	-8.559136E-11	-8.456566E-11	-8.784066E-11	-8.535484E-11	-8.583813E-11	-8.547310E-11	-6.681410E-7	-3.339430E-6
296	3778069761.670304	1.746129	23.500000	26.909208	-1.957000E-7	-2.318586E-12	1.486060E-10	-8.149348E-11	-8.380003E-11	-8.483858E-11	-8.172145E-11	-8.296338E-11	-8.276074E-11	-6.700928E-7	-3.349026E-6
300	3778069779.075600	1.755124	23.500000	26.930927	-1.956500E-7	-9.727453E-12	1.486160E-10	-8.007181E-11	-7.701002E-11	-7.874045E-11	-7.972182E-11	-7.888602E-11	-7.923114E-11	-6.705705E-7	-3.351615E-6
304	3778069796.206524	1.802866	23.500000	26.909327	-1.956900E-7	-1.498374E-11	1.485705E-10	-7.920354E-11	-8.167771E-11	-7.960550E-11	-8.007732E-11	-8.014102E-11	-7.984141E-11	-6.711102E-7	-3.354204E-6
308	3778069813.501706	1.719765	23.500000	26.893870	-1.957100E-7	-1.157967E-11	1.485725E-10	-8.473062E-11	-8.163618E-11	-8.155362E-11	-8.110953E-11	-8.225749E-11	-8.159490E-11	-6.693531E-7	-3.345405E-6
